Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Dec,SkyWest,3617,DTW,"Detroit, MI",MI,SAT,"San Antonio, TX",TX,0827,7,1043,-31,0,NA,NA,NA,NA,NA,NA,On Time,Late,NA
Dec,SkyWest,3688,DTW,"Detroit, MI",MI,TVC,"Traverse City, MI",MI,0811,-9,0939,-17,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,3766,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,0925,-5,1224,-11,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,3794,ORD,"Chicago, IL",IL,JFK,"New York, NY",NY,1027,-3,1358,8,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,3893,DTW,"Detroit, MI",MI,CMH,"Columbus, OH",OH,1346,-4,1457,-7,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,3927,DTW,"Detroit, MI",MI,GRR,"Grand Rapids, MI",MI,0820,0,0934,10,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,4038,MSP,"Minneapolis, MN",MN,CLE,"Cleveland, OH",OH,0859,-6,1159,-11,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4041,DTW,"Detroit, MI",MI,CLE,"Cleveland, OH",OH,1353,-6,1443,-25,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4296,MSP,"Minneapolis, MN",MN,LSE,"La Crosse, WI",WI,2025,-5,2156,9,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,4297,DTW,"Detroit, MI",MI,FWA,"Fort Wayne, IN",IN,1540,-5,1637,-28,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4319,DTW,"Detroit, MI",MI,SWF,"Newburgh/Poughkeepsie, NY",NY,1516,-3,1648,-24,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4439,MSP,"Minneapolis, MN",MN,GFK,"Grand Forks, ND",ND,1813,23,1935,14,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,SkyWest,4510,DTW,"Detroit, MI",MI,IAH,"Houston, TX",TX,0922,47,1118,5,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,SkyWest,4517,DTW,"Detroit, MI",MI,AZO,"Kalamazoo, MI",MI,1603,-7,1653,-22,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4524,DSM,"Des Moines, IA",IA,SLC,"Salt Lake City, UT",UT,0535,0,0727,-12,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4526,MSP,"Minneapolis, MN",MN,ICT,"Wichita, KS",KS,2021,-4,2151,-50,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4640,MSP,"Minneapolis, MN",MN,EWR,"Newark, NJ",NJ,0957,-5,1348,-16,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4707,MSP,"Minneapolis, MN",MN,MDW,"Chicago, IL",IL,1745,8,1946,14,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,SkyWest,4795,MSP,"Minneapolis, MN",MN,IND,"Indianapolis, IN",IN,0957,-3,1305,11,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,4803,DTW,"Detroit, MI",MI,MDT,"Harrisburg, PA",PA,2136,66,2257,42,0,NA,42,0,0,0,0,Late,Late,Carrier
Dec,SkyWest,4873,MSP,"Minneapolis, MN",MN,BIL,"Billings, MT",MT,1128,-2,1259,-7,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,4899,MSP,"Minneapolis, MN",MN,MDW,"Chicago, IL",IL,1525,5,1708,0,0,NA,NA,NA,NA,NA,NA,On Time,Late,NA
Dec,SkyWest,4941,MSP,"Minneapolis, MN",MN,FAR,"Fargo, ND",ND,0850,-2,1002,-15,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,5007,ORD,"Chicago, IL",IL,AVL,"Asheville, NC",NC,0705,20,1000,25,0,NA,20,0,5,0,0,Late,Late,Carrier
Dec,SkyWest,5041,ORD,"Chicago, IL",IL,MKG,"Muskegon, MI",MI,2019,42,2251,72,0,NA,0,42,30,0,0,Late,Late,Weather
Dec,SkyWest,5049,ORD,"Chicago, IL",IL,FWA,"Fort Wayne, IN",IN,2121,16,2331,15,0,NA,0,0,0,0,15,Late,Late,Late Aircraft
Dec,SkyWest,5064,ORD,"Chicago, IL",IL,MBS,"Saginaw/Bay City/Midland, MI",MI,0748,-2,0959,-7,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,5467,MSP,"Minneapolis, MN",MN,ORD,"Chicago, IL",IL,0707,-8,0853,3,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
